Kelly B,"Cleveland, Ohio",18-Sep-19,50,Great vibe with excellent service,Had a delicious dinner tonight with fabulous service from Rasika. Was sat at a large table as a solo traveler which allowed me to meet others. Once they left I still had company with this adorable kitty.This is a solid choice for any meal. Will be back soon.
,,,,,
alveoz,"Barcelona, Spain",11-Sep-19,50,Great experience,"Amazing night in the restaurant that transformed later in the night in a nice chilled place with good music and vibes. From food to drinks, everything exceeded our expectations and we had the best night in Sri Lanka. A special thanks to Yoga, our Stuart, and Udele, our amazing bartender (amazing mojitos). Definitely a place to visit in Ella and in the whole Sri Lanka!"
,,,,,
Cam_csb2010,"Cheadle, United Kingdom",18-Sep-19,50,Amazing place,"Delicious food, a cool location, great drinks and amazing staff. What more could you want?! We never normally go to the same place twice but it’s impossible not to given how good this place is!"
,,,,,
400oskarr, ,18-Sep-19,50,Great food,"Great variety of international and local cuisine, portions are big and fancy looking. Make sure you get your service from Yoga - he's a great waiter who got everything right the way we wanted it. (and that's a group of 14 people!)"
,,,,,
patrickjannings,"Colombo, Sri Lanka",17-Sep-19,50,Good Coffee,Very happy with coffee and service from Rasika. Pleasant music and good relaxing vibes. Would recommend for those looking for a morning coffee.
,,,,,
Blaž D, ,17-Sep-19,50,Great food,"The food was really great, burgers are nice. The waiter (named Rasika) was really nice and kind. 😊😊"
,,,,,
ColinvG19, ,17-Sep-19,50,Nice spot for any time of the day,"Cafe Chill is a great spot for breakfast, lunch, dinner and drinks when staying in Ella. Western and Sri Lankan dishes and a good range of drinks. Rasika's service was very good too. There is a relaxed and chill vibe."
,,,,,
Thiago D, ,17-Sep-19,50,Best place in Ella,"Best fries fish and burguer beer and sweets Lovely place, music, staffs specially Lasa 💙 I recommend"
,,,,,
Ben E, ,17-Sep-19,50,Cafe chill,Really nice food and drinks. Nice and chilled atmosphere. Rasika was excellent. Drinks were never empty. Would recommend!!
,,,,,
josuaott,"Colombo, Sri Lanka",17-Sep-19,50,Must Visit in Ella,"We came to this Place because it looked very nice and was packed out which is always a good sign. The Food was delicious as well as the drinks. Decent prices and the waiter Lasa was very attentive and nice!
Would definitely recommend to everyone - you can‘t miss this Place :-)"
,,,,,
Racdocs87,"London, United Kingdom",17-Sep-19,50,Great restaurant,"We ate here after climbing mini Adams peak. The restaurant served great food and had a really chilled vibe. Our waiter Rasika was awesome, always making sure we had enough to eat. Would definitely recommend. Thank you!"
,,,,,
MrPeppa183, ,17-Sep-19,50,"Ranjith, the man",Had the best time at cafe chill. Food is amazing and atmosphere is great!! Highly recommend. Short walk from all the main accomodation places and prices are great. We were served by Ranjith who was awesome. Went to dinner and then came back multiple times during our short stay. Cheers to the staff.
,,,,,
SaraH7404, ,16-Sep-19,40,Delicious bruschetta,"Chill vibes, tasty food and very friendly service by Rasika! I highly recommend the bruschetta apetizer."
,,,,,
guillerodlope,"Zaragoza, Spain",16-Sep-19,50,"Tasty food, nice atmosphere and great service.","The perfect place to have a meal or just a break. There are a great variety of dishes from Sri lanka's food and international whose quality and taste was awesome. Furthermore, the service is great. Our waiter, Saman, is a nice guy, very kind and thanks to him we didn't left our bag in the restaurant.
We went two times in our day in Ella and I would come back again without doubt."
,,,,,
Irene S, ,16-Sep-19,50,Great service and excellent admosphere,"We went tonight to have some dinner with fiends, they have 2 floors restauants with an amazing decoration. Although the menu is turist rate, it is quite completed, with european, srilankan and asian cuisine. However, they also have other options outside the menu, as kaal curry.
Anil served us today, he is a very energic and happy guy, i really apreciate this actitude in reataurants, as i personally have diet problems (alergic to eggs and nuts) and I really apreciate to enjoy the meal knowing that is safe, he checked very carfully all my problems and I could eat save on this lovely place."
,,,,,
anniewie, ,16-Sep-19,50,Loved it!,"We spent three nights in Ella and spent pretty much all of our meals here. Nothing on the menu we cannot recommend. Food and staff are absolutely awesome! Look out for Vidal, the coolest waiter I've ever met. He can throw your coaster from 3m away to your table landing exactly where it needs to be. :D With his little tricks, lots of language knowledge and sympathetic way he makes staying at Chill Bar amusing and very nice. We enjoyed it here lots! Check it out, you won't be disappointed!"
,,,,,
lwalsh22,"Rome, Italy",16-Sep-19,40,Good atmosphere and good menu,Had dinner here one evening. We had pizza and a vegetable curry. The pizza was the perfect for a break from local food. The vegetable curry has a great mix of flavours but tasted like it wasn't fresh. Our waiter Rasika was really helpful with the menu and questions we had about Ella!
,,,,,
DanielS16616, ,16-Sep-19,50,Nice stay,We had nice traditional food and good drinks at the bar. All was well served by our nice waiter Rasika.
,,,,,
Alexandra S, ,16-Sep-19,50,Delicious food,We had a good time at Chill Café and the service of our waiter Rasika was very good :-) Sri Lankan food was delicious.
,,,,,
Miriam C, ,16-Sep-19,50,In Ella!,"Sri-Lankas food delicious! very confortable! We were served very good by a waiter Rasika. Very good place! Menjar local boníssim! Lloc molt agradable! El sevei molt be, lloc recomanable, tornarem!"
,,,,,
Алексей В, ,16-Sep-19,50,Lunch,Sri-Lankas food delicious! Atmospheric and comfortable place We were served by a waiter Nisha. Will definitely be back again.
,,,,,
LilyA635,"Norwich, United Kingdom",16-Sep-19,50,"Great coffee, food and atmosphere","Came here for some breakfast and thoroughly enjoyed. Fast friendly service, great coffee and a tasty breakfast with great variety of food. Will go again."
,,,,,
Melanie H,Walsall,16-Sep-19,50,"Chill by name, chill by nature","Dropped in for a bite to eat whilst my daughter went up Little Adams Peak. A traveller haven, full of people from all over the globe. The menu is varied, nutritious and reasonable. I was served by a lovely young man named Rasika who commented how nice my hair is so he knows what he is talking about (smile) I had a bowl of lovely seafood soup served with garlic bread, so tasty. The vibe here is great, felt part of the young crowd again lol. A must go to when in Ella."
,,,,,
Amith_Sri-Lanka,"Negombo, Sri Lanka",16-Sep-19,50,Excellent service and Excellent food,"we went to cafe chill on last week of August because of it's excellent reviews. We were warmly welcome by Upul and who gave us an excellent service. The staff of Cafe chill are so quick, very attention and professional team. Food was amazing and reasonable price. Also Cafe chill has a fabulous atmosphere, very clean and well maintain environment. Finally thanks again for Upul who gave us excellent service and looking forward to see you again. Good luck!!"
,,,,,
bishington, ,16-Sep-19,50,Cafe Chill,Great food and atmosphere Rasika gave us excellent service would highly recommend very reasonably priced for the quality
,,,,,
Companion485624, ,15-Sep-19,50,Good vibe,Great food and Rumesh is great and bit saucy in good way. Devilled fish was 3.5 out of 5...more veggies. Burger great and mixed rice super
,,,,,
Stephanie G, ,15-Sep-19,50,Great food and happy vibe,Had a solid hamburger here while visiting Ella. Very friendly atmosphere and helpful staff. Thanks to Rumesh for his great service!
,,,,,
